Time,Distance_km
2024-05-07T02:47:00Z,55.30
2024-05-07T02:48:00Z,54.49
2024-05-07T02:49:00Z,53.43
2024-05-07T02:50:00Z,52.13
2024-05-07T02:51:00Z,50.60
2024-05-07T02:52:00Z,48.84
2024-05-07T02:53:00Z,46.88
2024-05-07T02:54:00Z,44.70
2024-05-07T02:55:00Z,42.33
2024-05-07T02:56:00Z,39.79
2024-05-07T02:57:00Z,37.07
2024-05-07T02:58:00Z,34.21
2024-05-07T02:59:00Z,31.21
2024-05-07T03:00:00Z,28.11
2024-05-07T03:01:00Z,24.93
2024-05-07T03:02:00Z,21.70
2024-05-07T03:03:00Z,18.49
2024-05-07T03:04:00Z,15.36
2024-05-07T03:05:00Z,12.48
2024-05-07T03:06:00Z,10.12
2024-05-07T03:07:00Z,8.78
2024-05-07T03:08:00Z,8.95
2024-05-07T03:09:00Z,10.55
2024-05-07T03:10:00Z,13.05
2024-05-07T03:11:00Z,16.00
2024-05-07T03:12:00Z,19.15
2024-05-07T03:13:00Z,22.37
2024-05-07T03:14:00Z,25.58
2024-05-07T03:15:00Z,28.74
2024-05-07T03:16:00Z,31.82
2024-05-07T03:17:00Z,34.79
2024-05-07T03:18:00Z,37.62
2024-05-07T03:19:00Z,40.29
2024-05-07T03:20:00Z,42.80
2024-05-07T03:21:00Z,45.13
2024-05-07T03:22:00Z,47.27
2024-05-07T03:23:00Z,49.19
2024-05-07T03:24:00Z,50.91
2024-05-07T03:25:00Z,52.40
2024-05-07T03:26:00Z,53.66
2024-05-07T03:27:00Z,54.68
2024-05-07T03:28:00Z,55.47
2024-05-07T03:29:00Z,56.00
2024-05-07T03:30:00Z,56.29
2024-05-07T03:31:00Z,56.33
2024-05-07T03:32:00Z,56.13
2024-05-07T03:33:00Z,55.67
2024-05-07T03:34:00Z,54.97
2024-05-07T03:35:00Z,54.02
2024-05-07T03:36:00Z,52.84
2024-05-07T03:37:00Z,51.43
2024-05-07T03:38:00Z,49.79
2024-05-07T03:39:00Z,47.93
2024-05-07T03:40:00Z,45.87
2024-05-07T03:41:00Z,43.61
2024-05-07T03:42:00Z,41.16
2024-05-07T03:43:00Z,38.55
2024-05-07T03:44:00Z,35.78
2024-05-07T03:45:00Z,32.87
2024-05-07T03:46:00Z,29.85
2024-05-07T03:47:00Z,26.73
2024-05-07T03:48:00Z,23.56
2024-05-07T03:49:00Z,20.38
2024-05-07T03:50:00Z,17.26
2024-05-07T03:51:00Z,14.30
2024-05-07T03:52:00Z,11.73
2024-05-07T03:53:00Z,9.89
2024-05-07T03:54:00Z,9.29
2024-05-07T03:55:00Z,10.16
2024-05-07T03:56:00Z,12.17
2024-05-07T03:57:00Z,14.84
2024-05-07T03:58:00Z,17.84
2024-05-07T03:59:00Z,20.99
2024-05-07T04:00:00Z,24.18
2024-05-07T04:01:00Z,27.35
2024-05-07T04:02:00Z,30.46
2024-05-07T04:03:00Z,33.47
2024-05-07T04:04:00Z,36.36
2024-05-07T04:05:00Z,39.11
2024-05-07T04:06:00Z,41.71
2024-05-07T04:07:00Z,44.13
2024-05-07T04:08:00Z,46.36
2024-05-07T04:09:00Z,48.39
2024-05-07T04:10:00Z,50.21
2024-05-07T04:11:00Z,51.81
2024-05-07T04:12:00Z,53.19
2024-05-07T04:13:00Z,54.33
2024-05-07T04:14:00Z,55.22
2024-05-07T04:15:00Z,55.88
2024-05-07T04:16:00Z,56.28
2024-05-07T04:17:00Z,56.44
2024-05-07T04:18:00Z,56.34
2024-05-07T04:19:00Z,55.99
2024-05-07T04:20:00Z,55.40
2024-05-07T04:21:00Z,54.55
2024-05-07T04:22:00Z,53.47
2024-05-07T04:23:00Z,52.15
2024-05-07T04:24:00Z,50.60
2024-05-07T04:25:00Z,48.83
2024-05-07T04:26:00Z,46.84
2024-05-07T04:27:00Z,44.65
2024-05-07T04:28:00Z,42.28
2024-05-07T04:29:00Z,39.72
2024-05-07T04:30:00Z,37.00
2024-05-07T04:31:00Z,34.14
2024-05-07T04:32:00Z,31.16
2024-05-07T04:33:00Z,28.08
2024-05-07T04:34:00Z,24.93
2024-05-07T04:35:00Z,21.75
2024-05-07T04:36:00Z,18.61
2024-05-07T04:37:00Z,15.60
2024-05-07T04:38:00Z,12.89
2024-05-07T04:39:00Z,10.76
2024-05-07T04:40:00Z,9.67
2024-05-07T04:41:00Z,9.99
2024-05-07T04:42:00Z,11.58
2024-05-07T04:43:00Z,14.01
2024-05-07T04:44:00Z,16.88
2024-05-07T04:45:00Z,19.96
2024-05-07T04:46:00Z,23.12
2024-05-07T04:47:00Z,26.28
2024-05-07T04:48:00Z,29.40
2024-05-07T04:49:00Z,32.44
2024-05-07T04:50:00Z,35.37
2024-05-07T04:51:00Z,38.17
2024-05-07T04:52:00Z,40.81
2024-05-07T04:53:00Z,43.29
2024-05-07T04:54:00Z,45.59
2024-05-07T04:55:00Z,47.69
2024-05-07T04:56:00Z,49.59
2024-05-07T04:57:00Z,51.28
2024-05-07T04:58:00Z,52.74
2024-05-07T04:59:00Z,53.97
2024-05-07T05:00:00Z,54.96
2024-05-07T05:01:00Z,55.71
2024-05-07T05:02:00Z,56.22
2024-05-07T05:03:00Z,56.49
2024-05-07T05:04:00Z,56.50
2024-05-07T05:05:00Z,56.26
2024-05-07T05:06:00Z,55.78
2024-05-07T05:07:00Z,55.06
2024-05-07T05:08:00Z,54.09
2024-05-07T05:09:00Z,52.88
2024-05-07T05:10:00Z,51.45
2024-05-07T05:11:00Z,49.79
2024-05-07T05:12:00Z,47.92
2024-05-07T05:13:00Z,45.84
2024-05-07T05:14:00Z,43.57
2024-05-07T05:15:00Z,41.12
2024-05-07T05:16:00Z,38.50
2024-05-07T05:17:00Z,35.73
2024-05-07T05:18:00Z,32.83
2024-05-07T05:19:00Z,29.82
2024-05-07T05:20:00Z,26.74
2024-05-07T05:21:00Z,23.61
2024-05-07T05:22:00Z,20.49
2024-05-07T05:23:00Z,17.46
2024-05-07T05:24:00Z,14.65
2024-05-07T05:25:00Z,12.27
2024-05-07T05:26:00Z,10.67
2024-05-07T05:27:00Z,10.28
2024-05-07T05:28:00Z,11.21
2024-05-07T05:29:00Z,13.18
2024-05-07T05:30:00Z,15.77
2024-05-07T05:31:00Z,18.70
2024-05-07T05:32:00Z,21.79
2024-05-07T05:33:00Z,24.92
2024-05-07T05:34:00Z,28.05
2024-05-07T05:35:00Z,31.11
2024-05-07T05:36:00Z,34.09
2024-05-07T05:37:00Z,36.94
2024-05-07T05:38:00Z,39.66
2024-05-07T05:39:00Z,42.22
2024-05-07T05:40:00Z,44.61
2024-05-07T05:41:00Z,46.81
2024-05-07T05:42:00Z,48.81
2024-05-07T05:43:00Z,50.61
2024-05-07T05:44:00Z,52.18
2024-05-07T05:45:00Z,53.52
2024-05-07T05:46:00Z,54.63
2024-05-07T05:47:00Z,55.50
2024-05-07T05:48:00Z,56.12
2024-05-07T05:49:00Z,56.50
2024-05-07T05:50:00Z,56.62
2024-05-07T05:51:00Z,56.50
2024-05-07T05:52:00Z,56.13
2024-05-07T05:53:00Z,55.50
2024-05-07T05:54:00Z,54.64
2024-05-07T05:55:00Z,53.53
2024-05-07T05:56:00Z,52.19
2024-05-07T05:57:00Z,50.62
2024-05-07T05:58:00Z,48.83
2024-05-07T05:59:00Z,46.83
